BorID,DepthNo,Depth,pH,EC,Cl,SO4,HCO3,CO3,B,T_Anions,Ca,Mg,Na,K,T_Cations,CaMg,SAR,Fe,Zn,Mn,OM,A_CaCO3,T_CaCO3,F_CaCO3,S_CaCO3,CEC,CaMg_Exch,Ca_Exch,Mg_Exch,Na_Exch,K_Exch,ESP,EPP,SP,W,HygW,Sand,Silt,Clay,Texture,Porosity_Lab,spW,VW,FCa,FCw,FCv,Comment
1,1,20,7.5,0.91,2.5542,,,,,,,,3.71,,,4.1,2.59,,,,,,38.9388,22.89,,,,,,,,,,,,,14.8,33.2,52,‡˜‘‰š,,,,,,,
1,2,50,7.66,1.41,5.8824,,,,,,,,6.97,,,7.1,3.7,,,,,,37.1848,13.77,,,,,,,,,,,,,26.8,13.2,60,‡˜‘‰š ‹ƒ„,,,,,,,
1,3,90,7.76,1.46,4.4505,,,,,,,,8.68,,,5.6,5.19,,,,,,37.8864,18.59,,,,,,,,,,,,,18.8,21.2,60,‡˜‘‰š ‹ƒ„,,,,,,,
1,4,120,7.72,1.54,4.4118,,,,,,,,9.71,,,5.46,5.88,,,,,,42.4468,24.08,,,,,,,,,,,,,14.8,33.2,52,‡˜‘‰š,,,,,,,
1,5,150,7.74,1.95,6.2307,,,,,,,,12.03,,,7.74,6.12,,,,,,21.925,15.48,,,,,,,,,,,,,14.8,33.2,52,‡˜‘‰š,,,,,,,
2,1,40,7.56,0.6,1.7563,,,,,,,,1.99,,,3.42,1.52,,,,,,31.572,19.93,,,,,,,,,,,,,14.8,25.2,60,‡˜‘‰š ‹ƒ„,,,,,,,
2,2,70,7.74,0.59,1.544,,,,,,,,2.77,,,2.88,2.31,,,,,,36.4832,19.39,,,,,,,,,,,,,21.6,25.8,52.6,‡˜‘‰š,,,,,,,
2,3,110,7.76,0.61,1.2545,,,,,,,,3.19,,,2.48,2.86,,,,,,43.1484,24.11,,,,,,,,,,,,,17.6,29.8,52.6,‡˜‘‰š,,,,,,,
2,4,150,7.79,0.79,2.8251,,,,,,,,4.04,,,3.52,3.05,,,,,,39.9912,17.29,,,,,,,,,,,,,25.6,25.8,48.6,‡˜‘‰š,,,,,,,
3,1,50,7.72,0.7,1.7756,,,,,,,,3.19,,,3.7,2.35,,,,,,35.4308,21.24,,,,,,,,,,,,,13.6,29.8,56.6,‡˜‘‰š,,,,,,,
3,2,70,7.81,0.68,1.3703,,,,,,,,3.56,,,2.98,2.92,,,,,,39.9912,25.98,,,,,,,,,,,,,13.6,29.8,56.6,‡˜‘‰š,,,,,,,
3,3,130,7.86,0.87,2.3994,,,,,,,,5.42,,,2.74,4.63,,,,,,41.0436,20.97,,,,,,,,,,,,,21.6,25.8,52.6,‡˜‘‰š,,,,,,,
4,1,30,7.63,0.7,2.709,,,,,,,,2.98,,,3.94,2.12,,,,,,36.4832,25.77,,,,,,,,,,,,,9.6,33.8,56.6,‡˜‘‰š,,,,,,,
4,2,70,7.8,1.02,3.7152,,,,,,,,5.42,,,4.54,3.6,,,,,,34.0276,24.44,,,,,,,,,,,,,9.6,37.8,52.6,‡˜‘‰š,,,,,,,
4,3,110,7.78,1.02,2.4768,,,,,,,,6.39,,,3.06,5.17,,,,,,37.1848,20.64,,,,,,,,,,,,,17.6,25.8,56.6,‡˜‘‰š,,,,,,,
4,4,130,7.84,1.4,2.8638,,,,,,,,8.96,,,4.62,5.9,,,,,,38.2372,21.53,,,,,,,,,,,,,17.6,25.8,56.6,‡˜‘‰š,,,,,,,
4,5,150,7.8,1.73,3.6378,,,,,,,,10.34,,,7.02,5.52,,,,,,45.604,25.61,,,,,,,,,,,,,21.6,25.8,52.6,‡˜‘‰š,,,,,,,
6,1,30,7.63,0.55,1.3124,,,,,,,,2.33,,,2.8,1.97,,,,,,34.3784,18.54,,,,,,,,,,,,,17.6,25.8,56.6,‡˜‘‰š,,,,,,,
6,2,80,7.8,0.7,2.0511,,,,,,,,3.87,,,2.98,3.17,,,,,,39.9912,24.72,,,,,,,,,,,,,13.6,33.8,52.6,‡˜‘‰š,,,,,,,
6,3,130,7.81,1.06,2.709,,,,,,,,6.73,,,3.34,5.21,,,,,,51.9184,31.66,,,,,,,,,,,,,17.6,33.8,48.6,‡˜‘‰š,,,,,,,
